NS 100
ROOT 9592
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 3922
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 7688
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 5689
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 9692
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 2821
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 6677
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 591
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 614
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 9813
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 4678
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 8503
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 2722
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 8809
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 603
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 714
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 6379
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 601
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 490
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 9922
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 9499
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 8576
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 1012
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 8811
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 1611
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 9492
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 123
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 6787
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 7370
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 6270
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 1121
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 5676
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 8712
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 6277
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 1801
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 10
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 9609
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 6580
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 8709
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 1700
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 5576
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 8278
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 9899
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 9602
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 9900
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 8013
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 609
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 8714
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 8277
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 6587
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 501
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 121
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 710
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 8702
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 9022
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 9810
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 4479
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 6581
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 4677
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 5588
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 1502
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 1010
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 6590
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 7492
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 8703
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 6699
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 6891
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 4570
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 9487
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 799
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 8388
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 1810
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 9123
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 8376
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 9698
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 8378
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 613
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 2713
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 7376
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 7480
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 7380
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 6570
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 7698
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 5679
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 5788
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 6689
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 1702
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 2712
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 8379
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 9613
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 3723
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 3023
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 1811
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 2921
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 2825
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 124
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 9012
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 4378
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 8911
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
ROOT 9025
UHF -9,-7,+3,+9
LHF -2,+5,-7,+8
PHF -9,+2,+5,-7
